Date,FeSO4,CFeO,C,,
9/5/2023,,,,,
9/6/2023,325,,500,,
9/7/2023,,,,,
9/8/2023,325,,500,,
9/9/2023,,,,,
9/10/2023,,,,,
9/11/2023,325,,500,,
9/12/2023,,,,,
9/13/2023,325,,500,,
9/14/2023,325,,500,,
9/15/2023,,,,,
9/16/2023,,,,,
9/17/2023,325,,500,,
9/18/2023,,,,,
9/19/2023,325,,500,,
9/20/2023,,,,,
9/21/2023,325,,500,,
9/22/2023,,,,,
9/23/2023,325,,500,,
9/24/2023,,,,,
9/25/2023,325,,500,,
9/26/2023,,,,,
9/27/2023,325,,40,,
9/28/2023,,,,,
9/29/2023,,,,,
9/30/2023,325,,40,,
10/1/2023,,,,,
10/2/2023,325,,80,,
10/3/2023,,,,,
10/4/2023,325,,40,,
10/5/2023,,,,,
10/6/2023,325,,80,,
10/7/2023,,,,,
10/8/2023,,,,,
10/9/2023,325,,,,
10/10/2023,,,,,
10/11/2023,325,,,,
10/12/2023,,,,,
10/13/2023,,,,,
10/14/2023,,,,,
10/15/2023,325,,1000,,rosehips
10/16/2023,,,,,
10/17/2023,325,,1000,,
10/18/2023,,,,,
10/19/2023,325,,1000,,
10/20/2023,,,,,
10/21/2023,325,,1000,,
10/22/2023,,,,,
10/23/2023,325,,1000,,
10/24/2023,,,,,
10/25/2023,325,,1000,,
10/26/2023,,,,,
10/27/2023,325,,1000,,
10/28/2023,,,,,
10/29/2023,,,,,
10/30/2023,325,,1000,,
10/31/2023,,,,,
11/1/2023,325,,1000,,
11/2/2023,,,,,
11/3/2023,,,,,
11/4/2023,325,,1000,,
11/5/2023,,,,,
11/6/2023,,,,,
11/7/2023,,,,,
11/8/2023,,,,,
11/9/2023,,,,,
11/10/2023,,,,,
11/11/2023,,,,,
11/12/2023,,,,,
11/13/2023,,,,,
11/14/2023,,,,,
11/15/2023,,,,,
11/16/2023,325,,1000,,
11/17/2023,,,,,
11/18/2023,325,,1000,,
11/19/2023,,,,,
11/20/2023,325,,1000,,
11/21/2023,,,,,
11/22/2023,325,,1000,,
11/23/2023,,,,,
11/24/2023,,,,,
11/25/2023,,50,,,
11/26/2023,,,,,
11/27/2023,325,,1000,,
11/28/2023,,,,,
11/29/2023,325,,1000,,
11/30/2023,,,,,
12/1/2023,325,,1000,,
12/2/2023,,,,,
12/3/2023,325,,1000,,
12/4/2023,,,,,
12/5/2023,325,,1000,,
12/6/2023,,,,,
12/7/2023,325,,1000,,
12/8/2023,,,,,
12/9/2023,325,,1000,,
12/10/2023,,,,,
12/11/2023,325,,1000,,
12/12/2023,,,,,
12/13/2023,325,,1000,,
12/14/2023,,,,,
12/15/2023,,,,,
12/16/2023,325,,1000,,
12/17/2023,,,,,
12/18/2023,325,,1000,,
12/19/2023,,,,,
12/20/2023,325,,1000,,
12/21/2023,,,,,
12/22/2023,325,,1000,,
12/23/2023,,,,,
12/24/2023,325,,1000,,
12/25/2023,,,,,
12/26/2023,325,,1000,,
12/27/2023,,,,,
12/28/2023,325,,1000,,
12/29/2023,,,,,
12/30/2023,325,,1000,,
12/31/2023,,,,,
1/1/2024,,,,,
1/2/2024,325,,1000,,
1/3/2024,,,,,
1/4/2024,325,,1000,,
1/5/2024,,,,,
1/6/2024,,,,,
1/7/2024,325,,1000,,
1/8/2024,,,,,
1/9/2024,325,,1000,,
1/10/2024,,,,,
1/11/2024,325,,,,
1/12/2024,,,,,
1/13/2024,,,,,
1/14/2024,325,,1000,,
1/15/2024,,,,,
1/16/2024,325,,1000,,
1/17/2024,,,,,
1/18/2024,325,,1000,,
1/19/2024,,,,,
1/20/2024,,,,,
1/21/2024,325,,1000,,
1/22/2024,,,,,
1/23/2024,325,,1000,,
1/24/2024,,,,,
1/25/2024,,,,,
1/26/2024,,,,,
1/27/2024,325,,1000,,
1/28/2024,,,,,
1/29/2024,325,,1000,,
1/30/2024,,,,,
1/31/2024,325,,,,
2/1/2024,,,,,
2/2/2024,325,,1000,,
2/3/2024,,,,,
2/4/2024,325,,1000,,
2/5/2024,,,,,
2/6/2024,325,,1000,,
2/7/2024,,,,,
2/8/2024,325,,1000,,
2/9/2024,,,,,
